Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Belgium,Country_Brazil,Country_England,Country_Germany,Country_Italy,Country_Norway,Country_Spain,Country_nan
Ross Williams,25,74,Resolute,6985,18.5,2040-06-30,35500.0,,England (Sky Bet Championship),Sky Bet Championship,2037-06-15,0.098,8,16,10,14,11,15,20,10,15,11,12,16,11,15,16,17,16,13,13,13,13,13,11,16,11,17,10,13,2,9,15,7,17,13,10,10,Wnt,-,-,Not set,- - -,0,0,England,730.0,23.95687885010267,1.0431211498973305,4,480.0,False,False,False,True,False,False,False,False,False
Stefan Panić,23,73,Resolute,6119,4.9,2040-06-30,17500.0,5.5,Italy (Serie A),Italian Serie A,2037-08-06,4.9,10,13,12,13,9,13,14,13,13,8,14,14,14,15,16,16,12,14,14,13,16,13,12,13,11,17,8,14,3,6,7,5,14,14,13,10,Wnt,-,-,Not set,- - -,0,0,Italy,730.0,22.09924709103354,0.9007529089664613,4,498.0,False,False,False,False,False,True,False,False,False
Iñigo,21,75,Spirited,5940,62.5,2040-06-30,16750.0,0.0,Spain (First Division),Spanish First Division,2035-06-08,,8,17,16,16,11,16,15,18,16,10,13,17,13,15,16,13,16,15,17,15,14,14,10,17,9,13,14,12,9,11,12,15,17,14,12,10,Int,7.07,36,Not set,- - -,36,0,Spain,730.0,17.93634496919918,3.0636550308008212,4,499.0,False,False,False,False,False,False,False,True,False
Ben Dickmann,30,69,Resolute,5913,0.0,,,,Germany,-,,0.375,13,14,15,14,12,15,20,11,13,12,12,13,15,15,16,14,7,14,15,12,13,15,8,12,15,13,7,11,3,10,11,8,16,13,4,9,Wnt,-,-,Not set,- - -,0,0,Germany,,,,4,0.0,False,False,False,False,True,False,False,False,False
Carlos Santos,25,69,Light-Hearted,5188,5.15,2039-06-30,10250.0,,England (Sky Bet Championship),Sky Bet Championship,2036-07-01,0.175,9,14,9,14,8,15,16,7,12,6,13,17,12,14,15,12,7,11,12,7,14,12,8,15,12,14,10,7,3,8,11,8,16,15,7,9,Wnt,-,-,Not set,- - -,0,0,England,364.0,23.001368925393567,1.998631074606434,3,480.0,False,False,False,True,False,False,False,False,False
Tom Davies,26,70,Resolute,3908,8.5,2039-06-30,35500.0,9.0,England (Premier Division),English Premier Division,2037-06-15,7.25,8,11,8,13,7,13,16,13,14,7,10,15,14,17,15,13,8,14,13,12,12,13,6,13,14,12,7,12,6,5,7,3,16,14,8,11,Sct,-,-,Not set,- - -,0,0,England,364.0,24.95687885010267,1.0431211498973305,4,500.0,False,False,False,True,False,False,False,False,False
Tiago,20,73,Mercenary,3795,11.5,2042-12-31,14500.0,0.0,Brazil (First Division),Brazilian National First Division,2038-02-10,,9,13,8,13,12,14,16,13,14,11,12,17,11,15,13,16,15,13,13,13,16,13,8,13,12,15,11,13,9,7,12,8,16,14,5,9,Sct,6.80,26,Not set,- - -,26,0,Brazil,1644.0,19.613963039014372,0.3860369609856263,2,493.0,False,False,True,False,False,False,False,False,False
Maarten Claeys,23,74,Fairly Professional,3282,0.0,,,,Belgium,-,,0.064,8,14,8,14,9,13,13,17,16,13,16,16,13,13,13,17,15,12,13,12,15,13,8,13,11,13,9,6,3,6,4,8,16,13,5,7,FrA,-,-,Not set,- - -,0,0,Belgium,,,,4,0.0,False,True,False,False,False,False,False,False,False
Mathias Øfsti Jorde,23,71,Resolute,3109,3.625,2040-06-30,6000.0,2.8,Norway (Premier Division),Norwegian Premier Division,2036-01-31,2.1,14,14,9,14,8,13,16,7,16,7,10,13,12,16,15,12,11,12,12,10,13,12,7,14,13,15,9,9,4,8,14,5,16,14,7,7,Inj,6.82,10,Not set,- - -,10,0,Norway,730.0,20.585215605749486,2.414784394250513,4,487.0,False,False,False,False,False,False,True,False,False
Giuliano Muñoz,25,75,Spirited,3104,0.09899999999999999,2038-12-31,18000.0,3.5,Brazil (First Division),Brazilian National First Division,2035-03-12,2.9,7,13,9,14,10,12,15,7,14,10,10,17,13,15,16,18,15,15,13,14,18,12,9,12,12,13,7,12,4,6,14,8,15,14,6,9,Bid,6.58,0 (15),Not set,- - -,15,0,Brazil,183.0,21.695414099931554,3.3045859000684463,4,493.0,False,False,True,False,False,False,False,False,False
André Hansen,19,69,Resolute,2747,3.45,2040-12-31,1500.0,0.0,Norway (Premier Division),Norwegian Premier Division,2037-06-17,,12,10,7,14,7,13,16,8,16,7,12,12,12,17,16,13,6,13,14,11,14,12,8,13,12,14,14,6,4,5,14,4,16,16,7,7,Sct,6.95,4 (10),Not set,- - -,14,0,Norway,914.0,17.962354551676935,1.0376454483230664,4,487.0,False,False,False,False,False,False,True,False,False
Mariano Chamorro,18,72,Spirited,2199,3.15,2041-12-31,800.0,0.0,Argentina (Premier Division),Argentine Premier Division,2037-11-23,,11,12,10,13,9,14,16,10,13,6,10,16,13,11,15,13,11,13,13,10,13,13,7,12,10,15,11,13,7,4,9,8,13,14,8,7,Sct,-,-,Not set,- - -,0,0,Argentina,1279.0,17.397672826830938,0.6023271731690623,4,490.0,True,False,False,False,False,False,False,False,False
